Annee¤N°_Semaine¤Délai Moyen
2025¤22¤31.72090779
2025¤21¤36.61382595
2025¤20¤28.46263038
2025¤19¤29.31970699
2025¤18¤35.13871805
2025¤17¤30.26330449
2025¤16¤32.28104986
2025¤15¤31.53218833
2025¤14¤34.34905567
2025¤13¤32.21977953
2025¤12¤46.24159053
2025¤11¤32.46148073
2025¤10¤32.16521109
2025¤9¤31.63382415
2025¤8¤35.29862324
2025¤7¤35.02965214
2025¤6¤39.92786658
2025¤5¤72.85402559
